date,rain_in,rain_mm
2011-06-19,2.33,59.181999999999995
2011-06-20,0,0
2011-06-21,0.0305,0.7746999999999999
2011-06-22,0.1102,2.79908
2011-06-23,0,0
2011-06-24,0,0
2011-06-25,0.2003,5.08762
2011-06-26,1.0407,26.43378
2011-06-27,0,0
2011-06-28,5.37,136.398
2011-06-29,0,0
2011-06-30,0,0
2011-07-01,0,0
2011-07-02,0,0
2011-07-03,0,0
2011-07-04,0,0
2011-07-05,0,0
2011-07-06,2.0401,51.81853999999999
2011-07-07,2.8400000000000003,72.13600000000001
2011-07-08,0.1506,3.82524
2011-07-09,0,0
2011-07-10,0,0
2011-07-11,0,0
2011-07-12,1e-4,0.00254
2011-07-13,0,0
2011-07-14,1e-4,0.00254
2011-07-15,0,0
2011-07-16,0,0
2011-07-17,0,0
2011-07-18,1.04,26.416
2011-07-19,0.0102,0.25908
2011-07-20,0,0
2011-07-21,0,0
2011-07-22,0,0
2011-07-23,0,0
2011-07-24,0,0
2011-07-25,0,0
2011-07-26,0,0
2011-07-27,0,0
2011-07-28,0,0
2011-07-29,0,0
2011-07-30,1.6901,42.92854
2011-07-31,1e-4,0.00254
2011-08-01,0,0
2011-08-02,0,0
2011-08-03,0,0
2011-08-04,0,0
2011-08-05,1.0903,27.69362
2011-08-06,0.2809,7.134859999999999
2011-08-07,0.050300000000000004,1.27762
2011-08-08,1e-4,0.00254
2011-08-09,3.0000000000000003e-4,0.00762
2011-08-10,0,0
2011-08-11,0,0
2011-08-12,0,0
2011-08-13,0.0101,0.25654
2011-08-14,0,0
2011-08-15,0,0
2011-08-16,0,0
2011-08-17,0,0
2011-08-18,0,0
2011-08-19,0,0
2011-08-20,0,0
2011-08-21,2.7401,69.59854
2011-08-22,0,0
2011-08-23,0,0
2011-08-24,0,0
2011-08-25,0,0
2011-08-26,0,0
2011-08-27,0,0
2011-08-28,0,0
2011-08-29,0,0
2011-08-30,0,0
2011-08-31,0,0
2011-09-01,0,0
2011-09-02,0,0
2011-09-03,0,0
2011-09-04,0.5004,12.710159999999998
2011-09-05,2.5905,65.7987
2011-09-06,3.1601,80.26653999999999
2011-09-07,4e-4,0.01016
2011-09-08,0,0
2011-09-09,0,0
2011-09-10,0,0
2011-09-11,0.2,5.08
2011-09-12,0,0
2011-09-13,0,0
2011-09-14,0,0
2011-09-15,0.4303,10.92962
2011-09-16,0,0
2011-09-17,0,0
2011-09-18,2e-4,0.00508
2011-09-19,0.1804,4.58216
2011-09-20,0.31,7.874
2011-09-21,0.2004,5.09016
2011-09-22,0,0
2011-09-23,0.9601000000000001,24.38654
