station,date,rain_in
ASH,2012-08-11,0.2802
ASH,2012-08-12,0.8803
ASH,2012-08-13,1e-4
ASH,2012-08-14,2e-4
ASH,2012-08-15,0.2102
ASH,2012-08-16,0.6
ASH,2012-08-17,3.0000000000000003e-4
ASH,2012-08-18,0.1003
ASH,2012-08-19,0
ASH,2012-08-20,2e-4
ASH,2012-08-21,1e-4
ASH,2012-08-22,2e-4
ASH,2012-08-23,2e-4
ASH,2012-08-24,1e-4
ASH,2012-08-25,1e-4
ASH,2012-08-26,1e-4
ASH,2012-08-27,0
ASH,2012-08-28,0.3801
ASH,2012-08-29,0
ASH,2012-08-30,0
ASH,2012-08-31,0
ASH,2012-09-01,2e-4
ASH,2012-09-02,0
ASH,2012-09-03,1e-4
ASH,2012-09-04,0.1703
ASH,2012-09-05,0.2503
ASH,2012-09-06,0
ASH,2012-09-07,1e-4
ASH,2012-09-08,2e-4
ASH,2012-09-09,0.3005
ASH,2012-09-10,0
ASH,2012-09-11,0
ASH,2012-09-12,1e-4
ASH,2012-09-13,2e-4
ASH,2012-09-14,1e-4
ASH,2012-09-15,0.0201
ASH,2012-09-16,0
ASH,2012-09-17,1e-4
ASH,2012-09-18,0.0106
ASH,2012-09-19,0.7801
ASH,2012-09-20,0
ASH,2012-09-21,0
ASH,2012-09-22,0
ASH,2012-09-23,0.1003
ASH,2012-09-24,0
ASH,2012-09-25,0
ASH,2012-09-26,5e-4
ASH,2012-09-27,0.0103
ASH,2012-09-28,1.32
ASH,2012-09-29,0.14
ASH,2012-09-30,0.0306
ASH,2012-10-01,0.0101
ASH,2012-10-02,0.10010000000000001
ASH,2012-10-03,0.0604
ASH,2012-10-04,0.0709
ASH,2012-10-05,0.0101
ASH,2012-10-06,0.0301
ASH,2012-10-07,0
ASH,2012-10-08,0.1203
ASH,2012-10-09,2e-4
ASH,2012-10-10,0.2803
ASH,2012-10-11,0
ASH,2012-10-12,0.030100000000000002
ASH,2012-10-13,0
ASH,2012-10-14,0.3704
ASH,2012-10-15,2e-4
ASH,2012-10-16,0.1903
ASH,2012-10-17,0
ASH,2012-10-18,0
ASH,2012-10-19,0.3005
ASH,2012-10-20,0.1601
ASH,2012-10-21,0
ASH,2012-10-22,0
ASH,2012-10-23,0
ASH,2012-10-24,1e-4
ASH,2012-10-25,0
ASH,2012-10-26,1e-4
ASH,2012-10-27,0
ASH,2012-10-28,3.0000000000000003e-4
ASH,2012-10-29,1.2005000000000001
ASH,2012-10-30,1.5004
ASH,2012-10-31,0.8401000000000001
ASH,2012-11-01,0
ASH,2012-11-02,2e-4
ASH,2012-11-03,0
ASH,2012-11-04,0
ASH,2012-11-05,0
ASH,2012-11-06,0
ASH,2012-11-07,0
ASH,2012-11-08,0.41150000000000003
ASH,2012-11-09,1e-4
ASH,2012-11-10,0
ASH,2012-11-11,1e-4
ASH,2012-11-12,0
ASH,2012-11-13,0.1904
ASH,2012-11-14,0
ASH,2012-11-15,0
ASH,2012-11-16,0
ASH,2012-11-17,1e-4
ASH,2012-11-18,2e-4
ASH,2012-11-19,0
ASH,2012-11-20,0
ASH,2012-11-21,0
ASH,2012-11-22,2e-4
ASH,2012-11-23,0
ASH,2012-11-24,9.000000000000001e-4
ASH,2012-11-25,0
ASH,2012-11-26,0
ASH,2012-11-27,0.0204
ASH,2012-11-28,0
ASH,2012-11-29,0
ASH,2012-11-30,0
ASH,2012-12-01,0.0013000000000000002
ASH,2012-12-02,0.0403
ASH,2012-12-03,0.0302
ASH,2012-12-04,1e-4
ASH,2012-12-05,0.0201
ASH,2012-12-06,1e-4
ASH,2012-12-07,0.0202
ASH,2012-12-08,0.3205
ASH,2012-12-09,0.01
ASH,2012-12-10,0.47000000000000003
ASH,2012-12-11,0.0102
ASH,2012-12-12,0
ASH,2012-12-13,0
ASH,2012-12-14,0
ASH,2012-12-15,0
ASH,2012-12-16,7e-4
ASH,2012-12-17,0.0016
ASH,2012-12-18,1.0906
ASH,2012-12-19,2e-4
ASH,2012-12-20,0
ASH,2012-12-21,0.71
ASH,2012-12-22,0
ASH,2012-12-23,0
ASH,2012-12-24,0
ASH,2012-12-25,7e-4
ASH,2012-12-26,0
ASH,2012-12-27,0.0022
ASH,2012-12-28,0.0014
ASH,2012-12-29,6.000000000000001e-4
ASH,2012-12-30,0.0018000000000000002
ASH,2012-12-31,0
ASH,2013-01-01,0
ASH,2013-01-02,2e-4
ASH,2013-01-03,0
ASH,2013-01-04,0
ASH,2013-01-05,0
ASH,2013-01-06,0.0604
ASH,2013-01-07,0.01
ASH,2013-01-08,0.07
ASH,2013-01-09,0.0201
ASH,2013-01-10,0
ASH,2013-01-11,0.0101
ASH,2013-01-12,0.17020000000000002
ASH,2013-01-13,0.01
ASH,2013-01-14,0
ASH,2013-01-15,0
ASH,2013-01-16,0.0013000000000000002
ASH,2013-01-17,0.27
ASH,2013-01-18,0
ASH,2013-01-19,0.06
ASH,2013-01-20,0
ASH,2013-01-21,2e-4
ASH,2013-01-22,6.000000000000001e-4
ASH,2013-01-23,0
ASH,2013-01-24,0
ASH,2013-01-25,0
ASH,2013-01-26,4e-4
ASH,2013-01-27,0
ASH,2013-01-28,6.000000000000001e-4
ASH,2013-01-29,0.001
ASH,2013-01-30,0.2805
ASH,2013-01-31,0.5403
ASH,2013-02-01,0
ASH,2013-02-02,0
ASH,2013-02-03,0.0013000000000000002
ASH,2013-02-04,3.0000000000000003e-4
ASH,2013-02-05,0
ASH,2013-02-06,7e-4
ASH,2013-02-07,0
ASH,2013-02-08,0.0015
ASH,2013-02-09,0.0017000000000000001
ASH,2013-02-10,0.04
ASH,2013-02-11,9.000000000000001e-4
ASH,2013-02-12,0.23
ASH,2013-02-13,0
ASH,2013-02-14,0
ASH,2013-02-15,0
ASH,2013-02-16,0.05
ASH,2013-02-17,6.000000000000001e-4
ASH,2013-02-18,0
ASH,2013-02-19,0.01
ASH,2013-02-20,0.15
ASH,2013-02-21,0
ASH,2013-02-22,0
ASH,2013-02-23,0
ASH,2013-02-24,0.4003
ASH,2013-02-25,0.2612
ASH,2013-02-26,0.08
ASH,2013-02-27,0.99
ASH,2013-02-28,0.11
ASH,2013-03-01,0
ASH,2013-03-02,0
ASH,2013-03-03,3.0000000000000003e-4
ASH,2013-03-04,0
ASH,2013-03-05,0
ASH,2013-03-06,0.10010000000000001
ASH,2013-03-07,0.0121
ASH,2013-03-08,0.1506
ASH,2013-03-09,0
ASH,2013-03-10,0
ASH,2013-03-11,0
ASH,2013-03-12,0.34
ASH,2013-03-13,0.060000000000000005
ASH,2013-03-14,0
ASH,2013-03-15,0
ASH,2013-03-16,0
ASH,2013-03-17,0
ASH,2013-03-18,0
ASH,2013-03-19,0.0201
ASH,2013-03-20,0.08
ASH,2013-03-21,0.19
ASH,2013-03-22,0.05
ASH,2013-03-23,0.03
ASH,2013-03-24,0
ASH,2013-03-25,0
ASH,2013-03-26,0
ASH,2013-03-27,0
ASH,2013-03-28,0.01
ASH,2013-03-29,0
ASH,2013-03-30,0
ASH,2013-03-31,0
ASH,2013-04-01,0.4
ASH,2013-04-02,0
ASH,2013-04-03,0
ASH,2013-04-04,0
ASH,2013-04-05,0
ASH,2013-04-06,0
ASH,2013-04-07,0
ASH,2013-04-08,0
ASH,2013-04-09,0.04
ASH,2013-04-10,0.4
ASH,2013-04-11,0.26
ASH,2013-04-12,0.4404
ASH,2013-04-13,0.09
ASH,2013-04-14,0
ASH,2013-04-15,0
ASH,2013-04-16,0.01
ASH,2013-04-17,1e-4
ASH,2013-04-18,0
ASH,2013-04-19,1e-4
ASH,2013-04-20,0.44029999999999997
ASH,2013-04-21,0
ASH,2013-04-22,0
ASH,2013-04-23,4e-4
ASH,2013-04-24,1e-4
ASH,2013-04-25,0.0701
ASH,2013-04-26,0
ASH,2013-04-27,0
ASH,2013-04-28,0
ASH,2013-04-29,0
ASH,2013-04-30,0
ASH,2013-05-01,0
ASH,2013-05-02,0
ASH,2013-05-03,1e-4
ASH,2013-05-04,0
ASH,2013-05-05,0
ASH,2013-05-06,0
ASH,2013-05-07,0
ASH,2013-05-08,0.0106
ASH,2013-05-09,0.28040000000000004
ASH,2013-05-10,0.0107
ASH,2013-05-11,0.1207
ASH,2013-05-12,0.0107
ASH,2013-05-13,0
ASH,2013-05-14,0
ASH,2013-05-15,4e-4
ASH,2013-05-16,0
ASH,2013-05-17,0
ASH,2013-05-18,0
ASH,2013-05-19,0.0102
ASH,2013-05-20,0.1202
ASH,2013-05-21,0.0104
ASH,2013-05-22,1.3103
ASH,2013-05-23,0.3603
ASH,2013-05-24,1.0307
ASH,2013-05-25,0.511
ASH,2013-05-26,0.0408
ASH,2013-05-27,0
ASH,2013-05-28,0
ASH,2013-05-29,0.2504
ASH,2013-05-30,0.1202
ASH,2013-05-31,3.0000000000000003e-4
ASH,2013-06-01,1e-4
ASH,2013-06-02,0.0501
ASH,2013-06-03,0.1902
ASH,2013-06-04,0
ASH,2013-06-05,0
ASH,2013-06-06,0
ASH,2013-06-07,0.9103
ASH,2013-06-08,1.1804000000000001
ASH,2013-06-09,0
ASH,2013-06-10,0.0305
ASH,2013-06-11,0.9503
ASH,2013-06-12,0.1003
ASH,2013-06-13,0.1802
ASH,2013-06-14,0.5101
ASH,2013-06-15,0
ASH,2013-06-16,1e-4
ASH,2013-06-17,0.1102
ASH,2013-06-18,0.3904
ASH,2013-06-19,0
ASH,2013-06-20,0
ASH,2013-06-21,0
ASH,2013-06-22,0
ASH,2013-06-23,3.0000000000000003e-4
ASH,2013-06-24,0.21000000000000002
ASH,2013-06-25,0.1302
ASH,2013-06-26,0.2404
ASH,2013-06-27,0.020300000000000002
ASH,2013-06-28,0.5906
ASH,2013-06-29,2e-4
ASH,2013-06-30,2e-4
ASH,2013-07-01,1.1301999999999999
ASH,2013-07-02,0.2205
ASH,2013-07-03,0
ASH,2013-07-04,0
ASH,2013-07-05,0
ASH,2013-07-06,0
ASH,2013-07-07,1e-4
ASH,2013-07-08,0.4802
ASH,2013-07-09,0
ASH,2013-07-10,0.3002
ASH,2013-07-11,0.0204
ASH,2013-07-12,0
ASH,2013-07-13,3.0000000000000003e-4
ASH,2013-07-14,0
ASH,2013-07-15,0
ASH,2013-07-16,0
ASH,2013-07-17,1e-4
ASH,2013-07-18,4e-4
ASH,2013-07-19,0
ASH,2013-07-20,0
ASH,2013-07-21,2e-4
ASH,2013-07-22,1e-4
ASH,2013-07-23,0.7505000000000001
ASH,2013-07-24,0
ASH,2013-07-25,2e-4
ASH,2013-07-26,0.4106
ASH,2013-07-27,1e-4
ASH,2013-07-28,2e-4
ASH,2013-07-29,0.060200000000000004
ASH,2013-07-30,0
ASH,2013-07-31,6.000000000000001e-4
ASH,2013-08-01,5e-4
ASH,2013-08-02,0.7401
ASH,2013-08-03,1e-4
ASH,2013-08-04,2e-4
ASH,2013-08-05,0
ASH,2013-08-06,3.0000000000000003e-4
ASH,2013-08-07,5e-4
ASH,2013-08-08,0.1101
ASH,2013-08-09,2.0102
ASH,2013-08-10,0
ASH,2013-08-11,3.0000000000000003e-4
ASH,2013-08-12,2e-4
ASH,2013-08-13,0.0502
ASH,2013-08-14,0
ASH,2013-08-15,0
ASH,2013-08-16,1e-4
ASH,2013-08-17,2e-4
ASH,2013-08-18,3.0000000000000003e-4
ASH,2013-08-19,0
ASH,2013-08-20,2e-4
ASH,2013-08-21,0
ASH,2013-08-22,1e-4
ASH,2013-08-23,0
ASH,2013-08-24,1e-4
ASH,2013-08-25,1e-4
